Name,Code,Y1990,Y2000,Y2010,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
United Arab Emirates,ARE,0,773807.2767,5767604.28,8069793.595,8148802.935,8598551.239,8998496.545,9133357.731,9287289,9365145
United Kingdom,GBR,50008.80049,15796005.47,53351410.25,59907116.76,62183912.55,59733426.32,60274221.16,61834716.42,63605219.49,64801177.69
United States,USA,1958862.824,121553203.8,221756628.8,239124399.1,276369863.2,283749977,289248221.4,293626412.4,300417290.9,304649603.4
Uruguay,URY,0,346969.3903,1555630.064,2197226.366,2266740.624,2406571.612,2766542.811,2857631.486,2959650.676,3086163.981
Uzbekistan,UZB,0,119393.5468,4541421.6,13395929.2,14902042.26,15773247.84,18191767.43,23640565.96,24338986.93,26741625.26
Vanuatu,VUT,0,4049.567017,19636.24,61787.77585,67972.32,89393.612,117432.71,154425.6015,166050.2551,211701.663
"Venezuela, RB",VEN,0,820673.3728,10730803.72,17707235.28,18444878.4,18827074.73,0,0,0,0
Viet Nam,VNM,0,200859.0605,26791475.18,41486129.1,49357060.37,54670814.11,66295693.54,65761806.67,67944025.65,72331024.22
Virgin Islands (U.S.),VIR,0,15008.97976,33829.0554,59068.33157,64088.47682,69064.81966,0,0,0,0
West Bank and Gaza,PSE,0,32474.06746,1416024.214,2421142.164,2615885.712,2819891.565,2942491.74,3308884.151,3650964.767,4028285.507
"Yemen, Rep.",YEM,0,15368.75201,3055877.331,6868326.639,7195317.959,8024694.615,0,0,0,0
Zambia,ZMB,0,18899.15181,413762.58,1429844.24,1727079.383,2110362.588,2550532.182,3087920.136,3416814.948,4134442.629
Zimbabwe,ZWE,0,47508.35408,821745.344,3219231.574,3341463.575,3599268.644,3763046,4082525.262,4590987.325,5567980.759
